"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
23,20,3,11,6,1,0
0,0,0,0,10,0,0
469,842,220,594,772,393,504
1651,2500,1266,2603,2653,1559,2260
4680,3009,2550,5285,3402,2296,5154
3018,1679,1134,2983,2027,1153,2582
2519,1227,648,1911,1713,777,1188
3051,1180,701,1879,1717,775,995
3486,1163,748,2179,1808,807,1162
3563,1107,841,2211,1868,779,1205
3362,1075,665,1864,1559,696,1030
3677,1084,821,2015,1723,784,1162
4277,1716,989,2695,2353,993,1382
6390,2453,1646,4287,3582,1754,2668
9475,2982,2446,5867,4287,2152,4862
6976,2013,1507,3638,2835,1488,3546
4515,1343,782,2207,1777,990,1821
4429,1087,660,2187,1639,948,1556
4227,1000,592,1853,1431,715,1354
1360,501,244,871,583,412,585
530,184,149,303,232,138,238
302,405,102,382,476,269,251
483,792,238,762,866,588,658
1045,1065,392,1479,1339,656,867
1749,1401,554,1974,1707,895,1052
2633,1426,625,1969,1935,908,1002
4033,1477,770,2118,2238,1074,1195
4565,1491,814,2609,2282,1077,1286
5409,1483,1050,2629,2520,1194,1391
5188,1290,1031,2259,2202,953,1172
4955,1014,817,1898,1842,847,1130
5689,1101,998,2369,2073,933,1237
6696,1538,1104,2851,2565,1028,1617
6087,1369,1030,2553,2311,1170,1698
5062,1145,870,1853,1777,880,1474
4275,944,692,1615,1437,762,1299
4098,857,580,1657,1515,783,1314
3699,887,537,1333,1164,695,1109
1411,508,285,718,582,401,675
287,145,76,199,162,93,142
7,4,5,2,2,1,0
0,0,0,0,2,0,0
284,304,101,327,335,248,284
379,606,217,603,678,477,465
748,873,327,1069,963,480,587
1424,1161,406,1523,1445,617,724
2095,1249,543,1367,1737,689,782
3528,1343,701,1661,1725,768,962
3731,1278,710,1832,1892,817,1044
4149,1219,909,1955,2029,873,1026
4615,1119,892,1786,1985,804,1051
5060,1113,949,1719,1993,786,1200
5059,1197,892,1749,1869,798,1178
5455,1441,1007,2217,2443,1040,1488
5054,1315,918,2055,2132,961,1389
4175,1131,757,1547,1738,840,1307
3535,888,572,1362,1241,778,1163
3640,843,469,1310,1302,808,1207
2420,753,442,904,871,587,812
827,380,174,455,424,351,441
279,107,66,164,132,91,152
8,6,1,10,1,1,0
0,0,0,0,6,0,0
452,692,205,659,747,432,504
1625,1863,1303,2494,2370,1566,2276
4833,2902,2609,5437,3292,2349,5446
2907,1638,1073,3085,1917,1028,2748
2249,1108,667,1824,1470,728,1155
2810,1127,599,1707,1482,807,1013
3093,1199,660,1902,1630,781,1051
3248,1076,752,2081,1678,797,1035
3263,1018,645,1882,1558,678,988
3295,1014,728,1791,1539,646,1090
3778,1290,891,2191,1856,957,1378
5113,2003,1586,3893,3063,1618,2461
7555,2723,2356,5529,3643,2084,4840
5549,1941,1416,3485,2602,1297,3580
3603,1163,676,2025,1632,743,1672
3377,1006,514,1813,1294,710,1270
2473,727,299,1383,963,490,945
724,366,154,490,391,251,404
335,104,95,251,123,94,140
15,7,5,7,0,2,0
0,0,0,0,8,0,0
434,913,261,662,821,442,551
1669,2774,1358,2805,3041,1643,2461
4941,3106,2698,5706,3488,2456,5594
2929,1580,1171,3095,2133,1169,2798
2312,1277,686,1902,1677,727,1189
2903,1154,610,1804,1683,823,927
3132,1130,625,2012,1685,768,1122
3356,1028,737,2187,1821,769,1120
3550,1069,708,2007,1703,660,1082
3405,1116,823,2011,1875,758,1057
3899,1795,968,2515,2525,1111,1406
5617,2400,1634,4273,3938,1742,2542
8164,2938,2520,6023,4167,2169,5075
5848,2034,1406,3622,2692,1418,3667
3977,1266,726,2259,1742,836,1794
3720,991,529,1945,1360,709,1403
2668,809,385,1442,1040,538,954
755,361,149,505,387,287,411
342,150,73,243,157,108,149
15,9,5,5,6,1,0
0,0,0,0,6,0,0
471,912,263,701,908,496,550
1748,2901,1403,2857,3313,1735,2527
4813,3088,2694,5669,3470,2404,5581
2902,1656,1117,3259,2176,1097,2782
2401,1171,693,1912,1695,767,1190
2951,1152,702,1902,1645,717,1002
3438,1174,712,2103,1891,919,1141
3438,1111,885,2253,2023,812,1112
3714,1044,763,2050,1802,744,1115
3609,1174,810,2052,1829,769,1184
4218,1829,1011,2655,2406,1056,1437
5920,2344,1670,4194,4054,1541,2751
9002,3190,2529,6040,4521,2248,5239
6329,2214,1552,4010,3063,1500,3771
4159,1321,806,2356,1836,836,1904
4048,1144,612,2081,1551,795,1476
2840,918,403,1631,1145,589,1056
907,361,174,593,417,308,484
430,135,88,274,161,119,185
